Rank,Feature,Gain,Gain_Percentage,Weight,Cover
1,act_data_pkt_fwd,4890.1318359375,10.325128602827634,551.0,21863.55859375
2,Bwd Packet Length Std,3978.64990234375,8.400606217899902,820.0,49805.29296875
3,PSH Flag Count,3188.871826171875,6.733051951930899,774.0,12279.01953125
4,Bwd Packet Length Mean,3076.0986328125,6.4949402274514165,1138.0,34853.52734375
5,Bwd Packet Length Min,3031.52490234375,6.400826302747915,463.0,33344.89453125
6,Total Backward Packets,2722.7255859375,5.748820843318714,880.0,12434.96484375
7,Total Length of Bwd Packets,2438.906494140625,5.1495591626408,1487.0,18767.4296875
8,Idle Mean,2177.64208984375,4.597919929955528,453.0,4924.69189453125
9,SYN Flag Count,1967.0748291015625,4.1533237268980665,14.0,25392.681640625
10,Fwd Packet Length Min,1605.1224365234375,3.3890897293592603,304.0,19574.796875
11,Idle Max,1377.084716796875,2.907606026779097,354.0,10761.544921875
12,Packet Length Mean,1258.9373779296875,2.6581472169121234,955.0,19444.228515625
13,Fwd Packet Length Max,1180.8260498046875,2.493221293586035,1406.0,14550.21875
14,Fwd Packet Length Mean,1152.0311279296875,2.4324230817090435,1141.0,10287.001953125
15,Bwd Header Length,1110.8045654296875,2.345376438807359,1142.0,12027.7216796875
16,Fwd PSH Flags,918.4232177734375,1.939178360314192,101.0,11558.1494140625
17,Total Fwd Packets,879.78515625,1.8575971335542851,1015.0,12828.783203125
18,Active Mean,877.4552001953125,1.8526776146720354,826.0,2236.93408203125
19,Packet Length Variance,787.2991943359375,1.662320302017525,194.0,28514.984375
20,FIN Flag Count,738.0032958984375,1.558235891200912,572.0,21731.447265625
21,Fwd IAT Std,666.650634765625,1.4075803614386904,7664.0,3036.826171875
22,ACK Flag Count,606.1239013671875,1.2797829262744256,860.0,3454.73828125
23,Total Length of Fwd Packets,586.4546508789062,1.2382528514980673,1555.0,9782.2119140625
24,Max Packet Length,579.9085693359375,1.2244313153834299,801.0,7078.80419921875
25,Bwd IAT Min,579.8273315429688,1.2242597881755848,1360.0,9031.7021484375
26,min_seg_size_forward,490.2889709472656,1.0352065848973235,1818.0,9232.26953125
27,Min Packet Length,488.2594299316406,1.0309213687325893,310.0,13321.78515625
28,Active Std,439.8446350097656,0.9286973386616187,89.0,9448.3515625
29,Bwd Packet Length Max,401.46319580078125,0.8476579497269439,679.0,6636.09228515625
30,Average Packet Size,368.0005187988281,0.7770041401709463,1077.0,20440.787109375
31,Bwd IAT Mean,285.674560546875,0.6031793569502555,482.0,4293.876953125
32,Packet Length Std,254.20068359375,0.5367247422132099,1114.0,12678.9892578125
33,Destination Port,253.32736206054688,0.5348807925111437,35560.0,2191.613525390625
34,Flow Duration,208.64236450195312,0.4405319361022311,21170.0,1166.5130615234375
35,Bwd IAT Total,207.4037628173828,0.4379167261017802,526.0,3428.32763671875
36,Fwd Header Length,179.1970977783203,0.3783605722482372,2785.0,4603.8466796875
37,Down/Up Ratio,153.05413818359375,0.32316177006250235,541.0,18848.33984375
38,Flow IAT Std,138.00436401367188,0.29138535605951127,4398.0,1384.228271484375
39,Bwd IAT Std,132.85256958007812,0.28050774747005097,3587.0,2013.2349853515625
40,Fwd Packet Length Std,123.31991577148438,0.2603802990081026,1123.0,5519.3828125
41,Bwd IAT Max,110.73965454101562,0.23381806726883203,491.0,2659.86865234375
42,Bwd Packets/s,110.43763732910156,0.2331803816894038,12213.0,1373.049560546875
43,Flow IAT Max,98.16568756103516,0.20726912534421887,12165.0,887.8568725585938
44,Flow IAT Mean,96.8610610961914,0.20451450921522824,14643.0,1032.6253662109375
45,URG Flag Count,85.68545532226562,0.18091809695037053,3152.0,4949.20703125
46,Active Min,71.15786743164062,0.15024423818909077,958.0,2331.26416015625
47,Fwd IAT Min,54.935916900634766,0.1159928660296666,20115.0,1183.1231689453125
48,Fwd IAT Mean,43.90237808227539,0.09269641696327635,10714.0,575.2728881835938
49,Flow Bytes/s,31.31144142150879,0.06611164489290353,13433.0,2387.82421875
50,Fwd IAT Total,30.996965408325195,0.06544765353488677,9493.0,744.7506103515625
51,Idle Min,25.27867889404297,0.05337394149017666,1882.0,1567.2113037109375
52,Active Max,24.009628295898438,0.05069444100451631,1115.0,751.0982666015625
53,Flow Packets/s,22.612300872802734,0.04774409409613794,14421.0,580.9669189453125
54,Flow IAT Min,17.730112075805664,0.03743573659505331,63443.0,697.3687133789062
55,Idle Std,11.390144348144531,0.024049393583847275,227.0,4725.37255859375
56,Fwd IAT Max,10.948952674865723,0.02311785207986917,9466.0,574.3215942382812
57,Fwd Packets/s,9.285696029663086,0.019606016543040027,14992.0,640.1912231445312
58,Fwd URG Flags,6.1150970458984375,0.01291154626009549,1.0,341.9042053222656
59,RST Flag Count,0.0,0.0,0.0,0.0
60,CWE Flag Count,0.0,0.0,0.0,0.0
61,ECE Flag Count,0.0,0.0,0.0,0.0
