Rank,Feature,Mean_Absolute_SHAP,Importance_Percentage
1,Destination Port,1.3905602,13.620651
2,min_seg_size_forward,0.7950465,7.7875457
3,Flow Duration,0.57721555,5.653874
4,Flow IAT Min,0.5583752,5.469331
5,Bwd Packets/s,0.5529967,5.416648
6,Flow IAT Mean,0.40839398,4.0002527
7,Fwd IAT Min,0.40501547,3.96716
8,Fwd Packets/s,0.32261804,3.1600702
9,Flow Bytes/s,0.3081027,3.0178912
10,Bwd Packet Length Mean,0.28773177,2.8183563
11,Flow IAT Max,0.25036597,2.4523551
12,URG Flag Count,0.23106946,2.2633445
13,Fwd IAT Std,0.21315317,2.087853
14,Max Packet Length,0.20188746,1.9775043
15,Flow Packets/s,0.20067278,1.9656065
16,Fwd IAT Total,0.19920489,1.9512283
17,Fwd IAT Mean,0.19719523,1.9315435
18,Total Length of Bwd Packets,0.17796098,1.7431425
19,Fwd Packet Length Max,0.17653258,1.7291512
20,Fwd IAT Max,0.1749274,1.7134283
21,Packet Length Mean,0.17342383,1.6987007
22,Bwd Packet Length Std,0.17260599,1.6906898
23,Fwd Header Length,0.16672556,1.6330905
24,Flow IAT Std,0.15659496,1.5338606
25,act_data_pkt_fwd,0.15249223,1.4936739
26,Bwd Packet Length Max,0.14313667,1.4020355
27,Fwd Packet Length Mean,0.13790144,1.3507559
28,Bwd Header Length,0.13152792,1.2883267
29,Min Packet Length,0.12013363,1.1767188
30,Total Length of Fwd Packets,0.1006825,0.9861933
31,Packet Length Std,0.09493203,0.929867
32,Fwd Packet Length Std,0.09195367,0.9006938
33,ACK Flag Count,0.09051239,0.88657624
34,Average Packet Size,0.083966695,0.82246065
35,PSH Flag Count,0.07787383,0.7627806
36,Total Backward Packets,0.0766059,0.7503611
37,Total Fwd Packets,0.073065884,0.7156863
38,Bwd Packet Length Min,0.06460127,0.6327748
39,Idle Min,0.0573958,0.5621966
40,Bwd IAT Min,0.04708832,0.46123397
41,Down/Up Ratio,0.04437888,0.43469477
42,Bwd IAT Std,0.04124256,0.40397426
43,Fwd Packet Length Min,0.03457711,0.33868563
44,Active Min,0.031566095,0.3091925
45,Idle Mean,0.028008105,0.2743417
46,Bwd IAT Mean,0.027804129,0.27234372
47,Idle Max,0.027350953,0.26790485
48,Packet Length Variance,0.025424084,0.249031
49,Bwd IAT Total,0.023117416,0.226437
50,Bwd IAT Max,0.020585662,0.20163825
51,FIN Flag Count,0.0150756,0.14766674
52,Active Max,0.014260982,0.1396875
53,Fwd PSH Flags,0.013339949,0.1306659
54,Active Mean,0.01082761,0.10605734
55,Idle Std,0.005469433,0.053573545
56,SYN Flag Count,0.002195242,0.021502577
57,Active Std,0.001734795,0.016992461
58,Fwd URG Flags,3.180668e-07,3.1154905e-06
59,RST Flag Count,0.0,0.0
60,CWE Flag Count,0.0,0.0
61,ECE Flag Count,0.0,0.0
