Feature,Mean_Absolute_SHAP,Rank
Destination Port,4.3467107,1
Flow Duration,0.7672052,2
Flow IAT Min,0.6400554,3
min_seg_size_forward,0.48332384,4
Fwd Packets/s,0.4088884,5
Bwd Packets/s,0.40664285,6
Flow Packets/s,0.36860394,7
URG Flag Count,0.3130752,8
Fwd Header Length,0.29729787,9
Total Length of Bwd Packets,0.26490197,10
Flow IAT Mean,0.2164325,11
Bwd Header Length,0.21114512,12
Fwd Packet Length Max,0.18997236,13
Fwd IAT Min,0.17894232,14
Flow IAT Max,0.13596907,15
Total Backward Packets,0.13280109,16
Fwd Packet Length Std,0.12804794,17
Fwd IAT Mean,0.12099923,18
Bwd Packet Length Min,0.08445713,19
Bwd Packet Length Max,0.08268226,20
Max Packet Length,0.053063616,21
Bwd IAT Min,0.046087366,22
Down/Up Ratio,0.042799678,23
Fwd IAT Std,0.041558504,24
Fwd IAT Max,0.03672305,25
Min Packet Length,0.033509087,26
Total Fwd Packets,0.03328196,27
Flow IAT Std,0.031745095,28
Flow Bytes/s,0.022674153,29
Bwd Packet Length Mean,0.012258422,30
Fwd IAT Total,0.009727169,31
Fwd Packet Length Mean,0.009489985,32
Packet Length Mean,0.0091439765,33
ACK Flag Count,0.008654579,34
Bwd IAT Mean,0.008641156,35
Total Length of Fwd Packets,0.007663031,36
Bwd IAT Max,0.006299105,37
Bwd IAT Std,0.0057156947,38
Fwd PSH Flags,0.00523941,39
Packet Length Std,0.005026544,40
act_data_pkt_fwd,0.0046281796,41
Average Packet Size,0.0030735817,42
Bwd IAT Total,0.0027533092,43
Packet Length Variance,0.0018756283,44
Fwd Packet Length Min,0.0017254368,45
PSH Flag Count,0.00072468526,46
SYN Flag Count,0.0004717585,47
Bwd Packet Length Std,0.0,48
Fwd URG Flags,0.0,49
RST Flag Count,0.0,50
FIN Flag Count,0.0,51
ECE Flag Count,0.0,52
CWE Flag Count,0.0,53
Active Mean,0.0,54
Active Std,0.0,55
Active Max,0.0,56
Active Min,0.0,57
Idle Mean,0.0,58
Idle Std,0.0,59
Idle Max,0.0,60
Idle Min,0.0,61
