Feature,Mean_Absolute_SHAP,Rank
Flow IAT Min,1.252339,1
min_seg_size_forward,0.9898883,2
Flow Duration,0.858013,3
Max Packet Length,0.5979799,4
Bwd Packets/s,0.57316697,5
Flow Bytes/s,0.5472813,6
Fwd IAT Min,0.3914478,7
Fwd IAT Std,0.37206256,8
Fwd Packets/s,0.32803294,9
Flow IAT Mean,0.3180008,10
Fwd IAT Mean,0.29176274,11
Destination Port,0.28631952,12
Fwd IAT Max,0.25475377,13
URG Flag Count,0.2522177,14
Bwd Header Length,0.2213958,15
Flow IAT Max,0.13479371,16
Fwd IAT Total,0.12475675,17
Flow Packets/s,0.0953155,18
Fwd Packet Length Std,0.088948496,19
Flow IAT Std,0.07439448,20
act_data_pkt_fwd,0.0732609,21
Fwd Packet Length Mean,0.05452807,22
Bwd Packet Length Std,0.034528624,23
Total Fwd Packets,0.034011774,24
Bwd Packet Length Mean,0.026890924,25
Bwd IAT Min,0.02675661,26
Average Packet Size,0.02388739,27
Fwd Header Length,0.01556004,28
Bwd IAT Max,0.014573196,29
Bwd Packet Length Max,0.011560443,30
Bwd IAT Total,0.011252743,31
Total Length of Fwd Packets,0.010768876,32
Down/Up Ratio,0.009909422,33
Bwd IAT Mean,0.008839436,34
Fwd Packet Length Max,0.0074943253,35
Total Length of Bwd Packets,0.007173297,36
Bwd Packet Length Min,0.0065829162,37
Packet Length Std,0.004668553,38
Packet Length Mean,0.004311128,39
Packet Length Variance,0.0035221279,40
Bwd IAT Std,0.0025074503,41
Idle Mean,0.0010433993,42
Total Backward Packets,0.0007163401,43
ACK Flag Count,0.00021245758,44
Fwd Packet Length Min,0.0,45
PSH Flag Count,0.0,46
RST Flag Count,0.0,47
SYN Flag Count,0.0,48
FIN Flag Count,0.0,49
Fwd URG Flags,0.0,50
Fwd PSH Flags,0.0,51
Min Packet Length,0.0,52
ECE Flag Count,0.0,53
CWE Flag Count,0.0,54
Active Mean,0.0,55
Active Max,0.0,56
Active Std,0.0,57
Active Min,0.0,58
Idle Std,0.0,59
Idle Max,0.0,60
Idle Min,0.0,61
