Feature,Mean_Absolute_SHAP,Rank
Fwd IAT Min,1.9108299,1
Max Packet Length,1.4590516,2
min_seg_size_forward,0.79806936,3
Flow IAT Min,0.5258288,4
Fwd IAT Mean,0.49425918,5
Fwd Packets/s,0.42864102,6
Flow IAT Max,0.4131326,7
Fwd IAT Std,0.40917894,8
Flow Bytes/s,0.28029817,9
Fwd IAT Max,0.27295122,10
Flow Duration,0.21205905,11
Flow Packets/s,0.18605465,12
Destination Port,0.16923785,13
Flow IAT Mean,0.16730778,14
Flow IAT Std,0.16294013,15
Bwd Packets/s,0.14727792,16
Fwd Header Length,0.11268618,17
Fwd IAT Total,0.110598035,18
URG Flag Count,0.0661701,19
Fwd Packet Length Std,0.06464957,20
Fwd Packet Length Mean,0.027451718,21
act_data_pkt_fwd,0.021481201,22
Average Packet Size,0.019961184,23
Bwd Header Length,0.019134972,24
Total Backward Packets,0.016077565,25
Total Fwd Packets,0.01597592,26
Down/Up Ratio,0.014438273,27
Bwd Packet Length Max,0.014364635,28
Bwd IAT Mean,0.012505226,29
Total Length of Fwd Packets,0.012331278,30
Bwd Packet Length Mean,0.011928827,31
Bwd Packet Length Std,0.010831422,32
Packet Length Mean,0.009300529,33
Total Length of Bwd Packets,0.007534627,34
Bwd IAT Std,0.0072641526,35
Fwd Packet Length Max,0.0063873073,36
Bwd IAT Min,0.0057726074,37
Bwd IAT Total,0.004012319,38
Idle Mean,0.0035402654,39
Bwd IAT Max,0.0027792258,40
Packet Length Std,0.0012356937,41
PSH Flag Count,0.00037493056,42
Packet Length Variance,0.00020667608,43
Fwd Packet Length Min,0.0,44
Bwd Packet Length Min,0.0,45
RST Flag Count,0.0,46
SYN Flag Count,0.0,47
FIN Flag Count,0.0,48
Min Packet Length,0.0,49
Fwd URG Flags,0.0,50
Fwd PSH Flags,0.0,51
ACK Flag Count,0.0,52
ECE Flag Count,0.0,53
CWE Flag Count,0.0,54
Active Mean,0.0,55
Active Max,0.0,56
Active Std,0.0,57
Active Min,0.0,58
Idle Std,0.0,59
Idle Max,0.0,60
Idle Min,0.0,61
