Feature,Mean_Absolute_SHAP,Rank
Bwd Packet Length Max,1.2583311,1
Bwd Packet Length Mean,0.929351,2
Max Packet Length,0.10501768,3
Fwd Packet Length Max,0.09734039,4
Packet Length Mean,0.097230315,5
Fwd Header Length,0.045876846,6
Total Fwd Packets,0.03601978,7
Total Backward Packets,0.01236545,8
Total Length of Fwd Packets,0.0,9
Fwd Packet Length Mean,0.0,10
Flow Duration,0.0,11
Destination Port,0.0,12
Total Length of Bwd Packets,0.0,13
Bwd Packet Length Std,0.0,14
Flow Bytes/s,0.0,15
Flow Packets/s,0.0,16
Flow IAT Mean,0.0,17
Flow IAT Std,0.0,18
Flow IAT Max,0.0,19
Flow IAT Min,0.0,20
Fwd IAT Total,0.0,21
Fwd IAT Mean,0.0,22
Fwd IAT Std,0.0,23
Fwd IAT Max,0.0,24
Fwd IAT Min,0.0,25
Bwd IAT Total,0.0,26
Fwd Packet Length Min,0.0,27
Fwd Packet Length Std,0.0,28
Bwd Packet Length Min,0.0,29
Bwd IAT Max,0.0,30
Bwd IAT Std,0.0,31
Bwd IAT Mean,0.0,32
Bwd IAT Min,0.0,33
Bwd Header Length,0.0,34
Fwd Packets/s,0.0,35
Fwd PSH Flags,0.0,36
Fwd URG Flags,0.0,37
Min Packet Length,0.0,38
Bwd Packets/s,0.0,39
Packet Length Std,0.0,40
Packet Length Variance,0.0,41
FIN Flag Count,0.0,42
SYN Flag Count,0.0,43
RST Flag Count,0.0,44
PSH Flag Count,0.0,45
ACK Flag Count,0.0,46
URG Flag Count,0.0,47
CWE Flag Count,0.0,48
ECE Flag Count,0.0,49
Down/Up Ratio,0.0,50
Average Packet Size,0.0,51
act_data_pkt_fwd,0.0,52
min_seg_size_forward,0.0,53
Active Mean,0.0,54
Active Std,0.0,55
Active Max,0.0,56
Active Min,0.0,57
Idle Mean,0.0,58
Idle Std,0.0,59
Idle Max,0.0,60
Idle Min,0.0,61
