Feature,Train Mean,Friday Mean,Train Median,Friday Median,Train Std,Friday Std,Mean Change %,Standardized Difference
PSH Flag Count,0.25023692356050703,0.4435861896237182,0.0,0.0,0.43314950528884566,0.4968076420828745,77.26648142573553,0.4148532139440555
Down/Up Ratio,0.6264649499001956,0.8573709510785266,1.0,1.0,0.5743986045349636,0.9089145741326029,36.85856666284641,0.30371072753816486
FIN Flag Count,0.044422579403507884,0.007641756721757519,0.0,0.0,0.20603211841184318,0.0870825531748377,82.79758441682456,0.23254653860412725
Packet Length Std,257.4838591643547,409.5507020594692,28.86751346,12.5,522.8408564984314,873.8082682098947,59.05878659292914,0.21119341239971748
Fwd Packets/s,73881.04261396667,33836.46574776792,58.1223316593,65.38030909,269129.62501694175,162986.52987356135,54.20142359851946,0.17999120250911724
Flow Duration,16197556.39870259,10576145.918692848,31545.0,30760.0,35188827.85571129,28159571.968018036,34.70529962445454,0.1763934029711198
Max Packet Length,855.7862610685888,1240.390409808771,94.0,55.0,1774.0334993744084,2634.1296704984234,44.94161290459853,0.1712667494037817
Average Packet Size,176.46398348821,239.6710211262397,76.25,53.84615385,285.3789678713677,440.6766827659285,35.818661909699394,0.1702595977417011
Flow IAT Max,10139060.561533308,6327035.968320151,30975.0,29678.0,26047871.98630132,18623554.2835546,37.59741417933372,0.16836010824444403
Packet Length Mean,158.4874043157854,213.32217367285352,60.0,44.0,267.5068889069324,396.4225000360331,34.598818495260424,0.1621540293777027
Bwd Packet Length Std,297.6428578653179,450.6542251574333,0.0,0.0,711.97459103199,1135.4449170401863,51.40770666882669,0.16146122436824964
Flow Packets/s,79615.49595874343,44358.44394980533,99.10074333975001,129.157249,274053.05062985484,180023.3761939856,44.28415798252167,0.15206508644435537
Flow IAT Std,3194854.035247061,2097763.4079815214,143.7602170282,118.9383594,8562855.801942997,6172007.285675663,34.33930361643894,0.14698850857298038
Fwd IAT Mean,2910342.595952695,1713130.49896756,48.0,4.0,10107627.885440188,7446745.209476127,41.13646615522355,0.1348599435449034
Flow IAT Mean,1428807.0269952146,909516.9172249719,12358.225,9890.75,4890893.7475712625,3051231.62786453,36.34431381978232,0.12739555765180813
Bwd Packets/s,5797.272203443134,10646.476478058308,16.5027394547,32.91910131,35180.892483841184,45852.63366264943,83.64630992719508,0.11865933035806457
Bwd Packet Length Mean,287.646936412848,362.5394488871586,81.0,23.0,544.6240948118293,757.6833236193968,26.036262860390906,0.11350611776102622
Fwd Packet Length Mean,52.09512583493547,76.8888190508806,37.18181818,8.666666667,124.81819940675912,303.1553304657755,47.59311513039526,0.10695149555518586
Bwd IAT Mean,2012315.272810898,1188559.078439366,3.0,0.0,9367541.486595822,7229347.583376823,40.935742301496816,0.09845266907835681
ACK Flag Count,0.32591741414050157,0.283250180015312,0.0,0.0,0.46871671260883585,0.4505771903271566,13.091425089300666,0.09280803476945884
SYN Flag Count,0.05081833915407701,0.03302178114122593,0.0,0.0,0.21962663376111288,0.17869356046405224,35.01995206670054,0.08888992260157247
Flow Bytes/s,1613249.171207604,1124188.0222367737,3479.75142435105,13039.181415,26863380.435157977,22919086.712320443,30.315289026600993,0.019586546408245465
RST Flag Count,0.00027762641648291565,0.00013661241066829084,0.0,0.0,0.016659816045130612,0.01168734110467379,50.79271907949092,0.00979945377632777
Destination Port,8099.261126466832,7947.437965158143,80.0,80.0,18600.823492145486,17248.852709635757,1.8745310089158647,0.008463971231786927
Total Fwd Packets,10.238373335064969,6.7397291658958505,2.0,2.0,800.121625672999,572.5779514445048,34.17187530353832,0.005028843178908339
Total Backward Packets,11.408630323015982,7.365631732786125,2.0,1.0,1062.0983002456067,771.8789954466146,35.438071668195235,0.004354806407673441
Total Length of Bwd Packets,17979.182936045225,10734.999234401283,142.0,58.0,2415343.970204541,1728651.0413429947,40.29206292306297,0.0034491966027973163
Total Length of Fwd Packets,546.4843310473857,560.0371229995532,68.0,30.0,11214.518332075932,4687.287591390795,2.4799964394573473,0.001576886642369613
