,precision,recall,f1-score,support
BENIGN,0.9996088796466799,0.9952448100463668,0.9974220712875463,413443.0
Bot,0.5984147952443857,0.9263803680981595,0.7271268057784912,1956.0
DDoS,0.9999609362792587,0.9998828179929066,0.9999218756103468,128006.0
DoS GoldenEye,0.0,0.0,0.0,0.0
DoS Hulk,0.0,0.0,0.0,0.0
DoS Slowhttptest,0.0,0.0,0.0,0.0
DoS slowloris,0.0,0.0,0.0,0.0
PortScan,0.9999937021758982,0.9998740585879449,0.9999338768030379,158804.0
SSH-Patator,0.0,0.0,0.0,0.0
Web Attack � Brute Force,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
accuracy,0.9969453538761252,0.9969453538761252,0.9969453538761252,0.9969453538761252
macro avg,0.3270889375769293,0.3564892777023071,0.3385822390435838,702209.0
weighted avg,0.9986425592052571,0.9969453538761252,0.9976928983146721,702209.0
