class_id,class,precision,recall,f1_score,support
0,BENIGN,0.9996088796466799,0.9952448100463668,0.9974220712875463,413443
1,Bot,0.5984147952443857,0.9263803680981595,0.7271268057784912,1956
2,DDoS,0.9999609362792587,0.9998828179929066,0.9999218756103468,128006
3,DoS GoldenEye,0.0,0.0,0.0,0
4,DoS Hulk,0.0,0.0,0.0,0
5,DoS Slowhttptest,0.0,0.0,0.0,0
6,DoS slowloris,0.0,0.0,0.0,0
7,FTP-Patator,0.0,0.0,0.0,0
8,Heartbleed,0.0,0.0,0.0,0
9,Infiltration,0.0,0.0,0.0,0
10,PortScan,0.9999937021758982,0.9998740585879449,0.9999338768030379,158804
11,SSH-Patator,0.0,0.0,0.0,0
12,Web Attack � Brute Force,0.0,0.0,0.0,0
13,Web Attack � Sql Injection,0.0,0.0,0.0,0
14,Web Attack � XSS,0.0,0.0,0.0,0
